department,disease,section,question,prompt,href,gpt_gene,extracted_text
心血管内科,预激综合征,概述,预激综合征预后如何？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：预激综合征预后如何？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8507550691347712069?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,其他预后,['其他预后']
心血管内科,预激综合征,概述,预激综合征如何治疗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：预激综合征如何治疗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8507550691347712069?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,"治疗方法, 急救方法, 治疗的作用机制","['治疗方法', '急救方法', '治疗的作用机制']"
心血管内科,预激综合征,概述,预激综合征患者日常生活中有什么注意事项？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：预激综合征患者日常生活中有什么注意事项？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8507550691347712069?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,日常护理和注意事项,['日常护理和注意事项']
骨科,骨裂,概述,骨裂是骨折吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：骨裂是骨折吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_11281646660304030416?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,疾病之间的区别,['疾病之间的区别']
骨科,骨裂,概述,骨裂自己休息能好吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：骨裂自己休息能好吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_11281646660304030416?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,自限性,['自限性']
骨科,骨裂,概述,骨裂需要手术吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：骨裂需要手术吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_11281646660304030416?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,治疗方法,['治疗方法']
普通外科,结肠息肉,概述,什么是结肠息肉？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：什么是结肠息肉？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8402949546008301459?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,疾病介绍,['疾病介绍']
普通外科,结肠息肉,概述,结肠息肉患者主要有哪些症状？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：结肠息肉患者主要有哪些症状？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8402949546008301459?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,症状,['症状']
普通外科,结肠息肉,概述,如患有结肠息肉该怎么办？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：如患有结肠息肉该怎么办？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8402949546008301459?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,"疾病介绍, 就诊科室, 检验检查, 诊断依据, 治疗方法, 自限性, 良恶性, 并发症, 影响生活质量, 影响寿命, 其他预后, 流行病学, 日常习惯预防, 定期体检预防, 早期发现预防",
心胸外科,肋软骨炎,概述,肋软骨炎能自愈吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肋软骨炎能自愈吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8533442008402087827?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,自限性,['自限性']
